Week,Product1,Product2
1,455,832
2,490,798
3,425,890
4,466,855
5,456,848
6,454,871
7,476,838
8,465,826
9,481,853
10,463,870
11,483,849
12,440,888
13,445,859
14,452,894
15,447,873
16,440,888
17,459,863
18,460,885
19,424,912
20,447,913
21,397,878
22,386,916
23,366,888
24,357,931
25,367,888
26,372,883
27,336,871
28,327,873
29,328,891
30,354,826
31,352,830
32,394,822
33,378,820
34,410,850
35,441,854
36,422,835
37,436,835
38,424,883
39,461,826
40,474,842
41,484,856
42,498,842
43,526,808
44,517,875
45,504,901
46,503,915
47,483,858
48,497,899
49,475,921
50,493,849
51,506,869
52,513,902
53,506,908
54,486,872
55,498,930
56,487,844
57,453,899
58,503,880
59,491,908
60,455,898
61,501,893
62,501,863
63,450,907
64,455,877
65,495,847
66,452,901
67,493,858
68,494,860
69,477,823
70,510,795
