SalePrice	SqFeet	Beds	Baths	Air	Garage	Pool	Year	Quality	Style	Lot	Highway
360	3.032	4	4	1	2	0	1972	2	1	22.221	0
340	2.058	4	2	1	2	0	1976	2	1	22.912	0
250	1.78	4	3	1	2	0	1980	2	1	21.345	0
205.5	1.638	4	2	1	2	0	1963	2	1	17.342	0
275.5	2.196	4	3	1	2	0	1968	2	7	21.786	0
248	1.966	4	3	1	5	1	1972	2	1	18.902	0
229.9	2.216	3	2	1	2	0	1972	2	7	18.639	0
150	1.597	2	1	1	1	0	1955	2	1	22.112	0
195	1.622	3	2	1	2	0	1975	3	1	14.321	0
160	1.976	3	3	0	1	0	1918	3	1	32.358	0
190	2.812	7	5	0	2	1	1966	3	7	56.639	0
559	2.791	3	4	1	3	0	1992	1	1	30.595	0
535	3.381	5	4	1	3	0	1988	1	7	23.172	0
525	3.459	5	4	1	2	0	1978	1	5	35.351	0
299.9	2.09	3	3	1	2	0	1987	2	1	24.025	0
527	3.232	5	5	1	2	0	1984	2	6	21.445	0
169.9	1.502	2	2	1	2	0	1956	2	1	28.958	0
335.25	2.747	3	4	1	2	0	1993	2	7	22.241	0
323.9	2.89	4	3	1	2	0	1954	2	7	41.992	0
200	1.825	3	3	1	2	0	1957	2	1	30.266	0
211	1.578	4	3	1	2	0	1986	2	2	18.829	0
212	1.763	3	3	1	2	0	1959	2	1	24.726	0
245	2.517	4	3	1	2	0	1965	2	1	23.261	0
140.4	1.872	3	2	1	2	0	1985	2	3	24.017	0
295	3.266	3	3	1	2	0	1908	2	6	24.881	0
170.9	2.02	1	2	1	1	0	1956	2	1	21.385	0
229	2.164	4	2	1	2	0	1965	2	1	28.291	0
218.5	2.08	3	2	1	2	1	1959	2	1	14.752	0
160	2.208	2	2	1	2	0	1985	2	7	8.058	0
259	3.048	6	4	1	3	0	1960	2	7	29.307	0
164.5	1.46	3	2	1	2	0	1978	2	1	9.999	0
280	2.54	3	2	0	2	0	1940	2	5	42.428	0
154	2.208	2	2	1	2	0	1985	2	7	6.746	0
272	2.56	4	2	1	3	0	1977	2	5	36.1	0
180	2.061	4	2	0	2	0	1958	2	1	20.138	0
157.5	1.98	3	2	1	2	0	1957	2	1	32.519	0
242.5	3.308	5	4	1	2	0	1928	2	5	47.323	0
182	2.616	5	3	0	2	0	1955	3	5	11.123	0
178	1.46	4	2	1	2	0	1961	3	1	27.095	0
171.9	1.58	2	1	0	1	0	1951	3	4	12.417	0
165.5	1.46	3	2	1	2	0	1960	3	1	22.493	0
183.5	1.54	3	2	1	2	0	1992	3	3	15.801	0
135	1.388	2	1	0	2	0	1951	3	1	26.106	0
175	1.624	3	2	1	2	0	1948	3	1	39.219	0
149.5	1.58	2	1	1	2	0	1966	3	1	11.166	0
177.5	1.82	3	2	1	2	0	1960	3	1	22.104	0
155	1.733	4	1	1	1	0	1936	3	4	22.398	0
145	1.896	3	2	0	2	0	1925	3	6	32.753	0
178	2.038	2	2	0	2	0	1918	3	7	47.884	0
156	1.436	3	2	0	3	0	1920	3	1	43.594	0
159	1.69	3	2	0	1	0	1922	3	5	28.518	0
160	1.496	2	2	0	1	0	1900	3	5	43.335	0
112	1.668	2	1	0	1	0	1948	3	1	19.612	0
84	0.98	1	1	0	1	0	1951	3	1	17.686	0
155	2.562	3	2	0	2	0	1885	3	7	40.8	0
360	2.304	5	4	1	3	0	1978	2	1	70.24	0
104	1.268	2	1	0	1	0	1947	3	1	21.067	0
420	2.283	3	3	1	3	0	1997	1	1	18.524	1
355	2.06	2	3	1	2	0	1997	2	1	38.623	1
165	2.087	2	2	1	2	0	1966	2	1	24.764	1
244	2.081	4	2	1	2	0	1980	2	3	24.993	1
179.9	1.696	3	3	1	2	0	1978	2	2	22.294	1
253	2.222	4	2	0	2	0	1955	2	1	71.527	1
200	2.11	5	3	1	2	0	1957	2	1	15.332	1
200	1.774	4	2	0	2	0	1963	3	1	15.528	1
147.7	1.592	3	2	1	2	0	1957	3	1	11.221	1
188.7	1.748	3	2	1	2	0	1972	3	1	23.939	1
177	1.985	3	1	0	2	0	1948	3	1	69.975	1
585	2.558	2	4	1	3	1	1984	1	3	24.601	0
549.9	4	6	5	1	3	1	1979	1	10	23.595	0
675	3.942	4	3	1	2	0	1990	1	7	18.92	0
830	3.889	4	4	1	3	0	1991	1	7	28.378	0
920	3.857	4	5	1	3	0	1997	1	1	32.793	0
855	4.756	4	4	1	3	0	1990	1	7	22.215	0
585.5	3.302	4	3	1	3	0	1982	1	7	26.463	0
399	2.629	3	3	1	2	0	1989	1	9	24.778	0
790	4.418	5	5	1	3	0	1997	1	7	22.024	0
665	4.746	4	4	1	3	0	1996	1	7	23.368	0
725	3.242	3	3	1	3	0	1989	1	1	27.173	0
647	2.464	3	3	1	3	0	1992	1	1	31.703	0
780	4.419	4	5	1	7	0	1987	1	1	56.127	0
657.5	3.877	3	3	1	3	0	1992	1	7	24.639	0
578	3.808	5	4	1	3	0	1982	1	7	23.324	0
500	3.376	5	4	1	2	0	1947	1	7	18.452	0
484.53	2.94	3	3	1	3	1	1979	1	7	20.639	0
609	2.654	5	3	1	3	0	1997	1	1	12.821	0
635	2.672	4	3	1	3	0	1995	1	1	28.049	0
519	3.386	4	4	1	3	0	1994	1	7	24.008	0
625.1	3.648	4	4	1	3	0	1992	1	7	26.604	0
585.444	3.455	4	5	1	3	0	1995	1	7	22.468	0
399.9	3.321	3	4	1	3	1	1971	1	7	15.012	0
389.9	2.817	4	3	1	3	0	1996	1	7	31.214	0
649	3.21	3	5	1	3	0	1995	1	1	30.033	0
535	3.588	4	5	1	3	0	1987	1	7	22.53	0
640	2.705	3	3	1	3	0	1994	1	1	22.196	0
600	2.344	4	3	1	2	0	1925	1	1	86.004	0
582.5	4.264	5	4	1	4	0	1995	1	7	24.983	0
545	2.615	3	3	1	3	0	1996	1	1	21.722	0
480	3.608	6	4	1	3	0	1981	1	7	25.219	0
595	2.479	4	4	1	3	0	1989	1	1	29.805	0
610	3.251	3	4	1	3	1	1985	1	1	25.57	0
570	2.547	2	3	1	3	0	1996	1	1	21.789	0
479	5.032	7	3	1	3	0	1989	1	7	22	0
545	4.973	6	6	1	3	1	1987	1	7	56.139	0
335	2.582	4	3	1	2	0	1966	1	2	23.256	0
629	3.139	6	4	1	2	1	1977	1	1	21.81	0
505.5	3.516	4	4	1	3	0	1979	1	7	19.867	0
370	2.936	4	4	1	3	0	1987	1	7	16.437	0
529	3.351	5	4	1	3	0	1994	1	7	24.216	0
490	3.136	4	4	1	3	0	1989	1	7	27.158	0
535	3.525	4	5	1	3	0	1996	1	7	27.501	0
612	3.917	6	5	1	3	0	1995	1	7	37.972	0
442.5	2.702	4	3	1	3	0	1991	1	1	39.643	0
500	3.644	3	4	1	3	0	1984	1	7	21.895	0
539	3.072	4	4	1	3	0	1992	1	1	25.158	0
545.5	3.233	4	4	1	3	0	1991	1	7	22.961	0
424	2.918	4	4	1	3	0	1988	1	7	22.003	0
325	3.266	4	3	1	3	0	1985	1	7	16.64	0
367	2.94	4	7	1	2	0	1988	1	7	22.003	0
470	3.43	3	4	1	2	1	1966	1	7	25.018	0
393	2.472	4	4	1	3	0	1987	1	1	21.784	0
530	2.878	4	4	1	3	0	1992	1	1	68.351	0
400	2.537	3	3	1	2	0	1993	1	1	11.053	0
403.5	3.858	4	4	1	3	0	1987	1	7	22.224	0
550	2.742	3	3	1	3	0	1991	1	1	22.306	0
380	3.46	5	4	1	2	0	1972	1	1	18.571	0
500	3.836	5	4	1	3	0	1982	1	5	48.465	0
465	4.453	7	5	1	2	0	1974	1	7	15.595	0
451.5	4.08	5	4	1	3	0	1983	1	7	22.134	0
336	3.301	3	4	1	2	0	1977	1	3	18.741	0
550	3.828	4	5	1	2	1	1975	1	1	17.051	0
450	2.973	4	3	1	2	0	1980	2	7	21.999	0
440	2.821	5	4	1	2	1	1962	2	1	32.914	0
515	2.95	5	3	1	2	0	1969	2	1	21.598	0
415	2.362	3	3	1	2	0	1977	2	3	21.604	0
380	3.092	3	4	1	2	0	1978	2	3	20.081	0
489.5	2.866	4	4	0	2	0	1982	2	7	22.424	0
478	3.369	5	4	1	3	0	1981	2	7	21.161	0
460	3.068	4	4	1	3	0	1988	2	7	18.289	0
379.9	2.38	3	3	1	3	0	1998	2	1	21.999	0
390	2.225	2	3	1	3	0	1997	2	1	38.722	0
338	2.655	3	3	1	2	0	1948	2	1	21.96	0
675	3.855	4	4	1	3	0	1996	2	7	35.845	0
440	2.892	4	4	1	2	0	1977	2	6	35.839	0
500	3.832	4	3	1	2	0	1952	2	1	28.722	0
470	3.164	6	4	1	2	0	1982	2	7	20.505	0
317.5	2.62	3	2	1	3	0	1925	2	7	12.266	0
430	3.076	6	4	1	3	0	1984	2	7	26.648	0
430	4.022	6	4	1	3	0	1986	2	7	18.429	0
475	3.377	4	3	1	3	0	1997	2	7	22.495	0
389	2.858	5	4	1	1	0	1989	2	7	23.981	0
400	3.54	4	4	1	3	1	1980	2	7	18.012	0
395	3.045	4	3	1	1	0	1991	2	7	34.356	0
395	4.15	4	3	0	3	0	1934	2	7	21.778	0
296	1.778	2	2	1	2	0	1991	2	7	24.022	0
387.5	2.412	2	3	1	3	0	1986	2	3	22.676	0
353	2.668	4	3	1	2	0	1978	2	2	18.384	0
350	2.274	4	3	1	3	0	1986	2	1	22.049	0
437.632	2.936	4	3	1	3	0	1980	2	5	22.844	0
447.5	2.526	2	2	1	0	0	1996	2	1	28.248	0
318.5	2.449	4	4	1	2	0	1985	2	3	22.075	0
352	3.131	4	4	1	2	0	1988	2	7	15.209	0
295	2.536	3	3	1	3	0	1987	2	7	39.427	0
313.5	3.314	2	3	1	3	0	1984	2	7	24.339	0
330	2.23	3	2	1	2	0	1986	2	1	24.798	0
400	2.631	4	4	0	2	0	1985	2	7	44.885	0
325	2.638	4	3	1	2	0	1978	2	3	25.747	0
