Quarter,Sales,Time
Q1-2002,61.14,1
Q2-2002,64.07,2
Q3-2002,66.18,3
Q4-2002,72.76,4
Q1-2003,84.70,5
Q2-2003,90.05,6
Q3-2003,106.06,7
Q4-2003,118.21,8
Q1-2004,134.38,9
Q2-2004,154.67,10
Q3-2004,157.41,11
Q4-2004,147.16,12
Q1-2005,156.43,13
Q2-2005,154.32,14
Q3-2005,169.04,15
Q4-2005,192.86,16
Q1-2006,185.08,17
Q2-2006,201.42,18
Q3-2006,221.54,19
Q4-2006,216.38,20
Q1-2007,243.48,21
Q2-2007,252.39,22
Q3-2007,239.93,23
Q4-2007,256.16,24
Q1-2008,249.74,25
Q2-2008,278.02,26
Q3-2008,300.32,27
Q4-2008,403.81,28
Q1-2009,430.90,29
Q2-2009,428.63,30
Q3-2009,485.29,31
Q4-2009,513.92,32
Q1-2010,544.99,33
Q2-2010,570.81,34
Q3-2010,584.31,35
Q4-2010,700.19,36
Q1-2011,723.98,37
Q2-2011,821.90,38
Q3-2011,889.26,39
Q4-2011,935.33,40
Q1-2012,983.21,41
Q2-2012,987.81,42
Q3-2012,1074.58,43
Q4-2012,1324.97,44
Q1-2013,1382.97,45
Q2-2013,1233.70,46
Q3-2013,1232.27,47
Q4-2013,1429.06,48
Q1-2014,1279.48,49
Q2-2014,1270.27,50
Q3-2014,1440.57,51
Q4-2014,1544.50,52
Q1-2015,1466.92,53
Q2-2015,1465.41,54
Q3-2015,1592.03,55
Q4-2015,1700.33,56
Q1-2016,1689.69,57
Q2-2016,1796.50,58
Q3-2016,1822.91,59
Q4-2016,1898.27,60
